Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the City field is editable or not,RN-172,10228,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:30 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001dj:,,RN Sprint 1,,,,,,,,Done
Verify that the Address 2 field is editable or not,RN-171,10227,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:29 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001db:,,RN Sprint 1,,,,,,,,Done
Verify that the Address 1 field is editable or not,RN-170,10226,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:28 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001d3:,,RN Sprint 1,,,,,,,,Done
Verify that the Website field is editable or not,RN-169,10225,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:27 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-168,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001cv:,,RN Sprint 1,,,,,,,,Done
Verify that the Company field is editable or not,RN-168,10224,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:26 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-167,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001cn:,,RN Sprint 1,,,,,,,,Done
Verify that the Status field is editable or not,RN-167,10223,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:26 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-166,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001cf:,,RN Sprint 1,,,,,,,,Done
Verify that the Confirm Password field is editable or not,RN-166,10222,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:24 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-165,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001c7:,,RN Sprint 1,,,,,,,,Done
Verify that the Password field is editable or not,RN-165,10221,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:23 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-164,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001bz:,,RN Sprint 1,,,,,,,,Done
Verify that the Tracking Code field is editable or not,RN-164,10220,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:20 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-163,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001br:,,RN Sprint 1,,,,,,,,Done
Verify that the Fax field is editable or not,RN-163,10219,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:18 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-162,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001bj:,,RN Sprint 1,,,,,,,,Done
Verify that the Telephone field is editable or not,RN-162,10218,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:16 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-161,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001bb:,,RN Sprint 1,,,,,,,,Done
Verify that the Email field is editable or not,RN-161,10217,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:15 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-160,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001b3:,,RN Sprint 1,,,,,,,,Done
Verify that the last name field is editable or not,RN-160,10216,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:08 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-159,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001av:,,RN Sprint 1,,,,,,,,Done
Verify that the first name field is editable or not,RN-159,10215,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 9:04 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-158,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001an:,,RN Sprint 1,,,,,,,,Done
Verify that the edit button is enable or not,RN-158,10214,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 8:54 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i001af:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to edit the details of an existing users ",RN-157,10213,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 7:31 AM,07/Sep/21 5:25 PM,09/Sep/21 5:08 AM,07/Sep/21 5:25 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-170,RN-171,RN-172,RN-173,RN-174,RN-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i001a7:,,RN Sprint 1,,,,,,,,Done
Verify that the approve button is disable after approved by the admin,RN-156,10212,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 7:11 AM,07/Sep/21 5:23 PM,09/Sep/21 5:08 AM,07/Sep/21 5:23 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-155,RN-153,RN-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019z:,,RN Sprint 1,,,,,,,,Done
Verify that a proper success message is coming or not,RN-155,10211,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 7:04 AM,07/Sep/21 5:23 PM,09/Sep/21 5:08 AM,07/Sep/21 5:23 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-154,RN-153,RN-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019h:,,RN Sprint 1,,,,,,,,Done
Verify that approve button is clickable or not,RN-154,10210,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:44 AM,07/Sep/21 5:22 PM,09/Sep/21 5:08 AM,07/Sep/21 5:22 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0019g:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to use the Approve functionality to approve a new user",RN-153,10209,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:43 AM,07/Sep/21 5:22 PM,09/Sep/21 5:08 AM,07/Sep/21 5:22 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i0019f:,,RN Sprint 1,,,,,,,,Done
Verify the Account name field is mandatory or not,RN-152,10208,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:12 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00193:,,RN Sprint 1,,,,,,,,Done
Verify the Account name field with alphanumeric data,RN-151,10207,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:06 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018v:,,RN Sprint 1,,,,,,,,Done
Verify the Account name field is enable or not,RN-150,10206,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:04 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018n:,,RN Sprint 1,,,,,,,,Done
Verify the Account number field is mandatory,RN-149,10205,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 6:02 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018f:,,RN Sprint 1,,,,,,,,Done
Verify the Account number field with alphabetic data and special characters,RN-148,10204,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:53 AM,08/Sep/21 1:35 PM,08/Sep/21 1:34 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00187:,,RN Sprint 1,,,,,,,,In Progress
Verify the Account number field with Numeric data,RN-147,10203,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:51 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017z:,,RN Sprint 1,,,,,,,,Done
Verify the Account number field is enable or not,RN-146,10202,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:50 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017r:,,RN Sprint 1,,,,,,,,Done
Verify the SWIFT code field must be mandatory,RN-145,10201,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:40 AM,08/Sep/21 1:34 PM,08/Sep/21 1:34 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017j:,,RN Sprint 1,,,,,,,,In Progress
Verify the SWIFT code field with characters range from 8 to 11.,RN-144,10200,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:32 AM,08/Sep/21 1:34 PM,08/Sep/21 1:34 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017b:,,RN Sprint 1,,,,,,,,In Progress
Verify the SWIFT code field with alpha numeric character,RN-143,10199,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:27 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00173:,,RN Sprint 1,,,,,,,,Done
Verify the SWIFT code field is enable or not.,RN-142,10198,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:26 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0016v:,,RN Sprint 1,,,,,,,,Done
Verify  the Branch Number field with special characters,RN-141,10197,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:22 AM,08/Sep/21 1:34 PM,08/Sep/21 1:33 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0016n:,,RN Sprint 1,,,,,,,,In Progress
Verify  the Branch Number field with alphabetic data,RN-140,10196,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:17 AM,08/Sep/21 1:33 PM,08/Sep/21 1:33 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0016f:,,RN Sprint 1,,,,,,,,In Progress
Verify  the Branch Number field with numeric data,RN-139,10195,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:15 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00167:,,RN Sprint 1,,,,,,,,Done
Verify  the Branch Number field is enable or not,RN-138,10194,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:13 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0015z:,,RN Sprint 1,,,,,,,,Done
Verify  the bank name field with alphanumeric data,RN-137,10193,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:09 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0015r:,,RN Sprint 1,,,,,,,,Done
Verify  the bank name field is enable or not,RN-136,10192,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:07 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0015j:,,RN Sprint 1,,,,,,,,Done
